order_id,socket.io,websocket,delta
1195813348,1565158700,1565158700,-0.019928932
1195813349,1565158700,1565158700,-0.019928932
1195813350,1565158700,1565158700,-0.019928932
1195813351,1565158700,1565158700,-0.019928932
1195813352,1565158700,1565158700,-0.019928932
1195813353,1565158700,1565158700,-0.019928932
1195813354,1565158700,1565158700,-0.019928932
1195813355,1565158700,1565158700,-0.019928932
1195813356,1565158700,1565158700,-0.019928932
1195813357,1565158700,1565158700,-0.019928932
1195813358,1565158700,1565158700,-0.019928932
1195813359,1565158700,1565158700,-0.019928932
1195813360,1565158700,1565158700,-0.019928932
1195813361,1565158701,1565158701,-0.005712986
1195813362,1565158701,1565158701,-0.005712986
1195813363,1565158701,1565158701,-0.005712986
1195813364,1565158701,1565158701,-0.005712986
1195813365,1565158701,1565158701,-0.005712986
1195813366,1565158701,1565158701,-0.005712986
1195813367,1565158701,1565158701,-0.005712986
1195813368,1565158701,1565158701,-0.005712986
1195813369,1565158701,1565158701,-0.02601409
1195813370,1565158701,1565158701,-0.02601409
1195813371,1565158701,1565158701,-0.02601409
1195813372,1565158701,1565158701,-0.02601409
1195813373,1565158701,1565158701,-0.02601409
1195813374,1565158701,1565158701,-0.02601409
1195813375,1565158701,1565158701,-0.02601409
1195813376,1565158701,1565158701,-0.02601409
1195813377,1565158701,1565158701,-0.02601409
1195813378,1565158701,1565158701,-0.02601409
1195813379,1565158701,1565158701,-0.02601409
1195813380,1565158701,1565158701,-0.02601409
1195813381,1565158701,1565158701,-0.02601409
1195813382,1565158701,1565158701,-0.02601409
1195813383,1565158701,1565158701,-0.02601409
1195813384,1565158701,1565158701,-0.02601409
1195813385,1565158701,1565158701,-0.02601409
1195813386,1565158701,1565158701,-0.02601409
1195813387,1565158701,1565158701,-0.02601409
1195813388,1565158701,1565158701,-0.02601409
1195813389,1565158701,1565158701,-0.02601409
1195813390,1565158701,1565158701,-0.02601409
1195813391,1565158701,1565158701,-0.016635895
1195813392,1565158701,1565158701,-0.016635895
1195813393,1565158701,1565158701,-0.016635895
1195813394,1565158701,1565158701,-0.016635895
1195813395,1565158701,1565158701,-0.016635895
1195813396,1565158701,1565158701,-0.016635895
1195813397,1565158701,1565158701,-0.016635895
1195813398,1565158701,1565158701,-0.016635895
1195813399,1565158701,1565158701,-0.016635895
1195813400,1565158701,1565158701,-0.016635895
1195813401,1565158701,1565158701,-0.016635895
1195813402,1565158701,1565158701,-0.016635895
1195813403,1565158701,1565158701,-0.016635895
1195813404,1565158701,1565158701,-0.016635895
1195813405,1565158701,1565158701,-0.016635895
1195813406,1565158701,1565158701,-0.016635895
1195813407,1565158701,1565158701,-0.016635895
1195813408,1565158701,1565158701,-0.016811848
1195813409,1565158701,1565158701,-0.016811848
1195813410,1565158701,1565158701,-0.016811848
1195813411,1565158701,1565158701,-0.005617142
1195813412,1565158701,1565158701,-0.006363869
1195813413,1565158702,1565158702,-0.006196976
1195813414,1565158702,1565158702,-0.006196976
1195813415,1565158702,1565158702,-0.006196976
1195813416,1565158702,1565158702,-0.006196976
1195813417,1565158702,1565158702,-0.006196976
1195813418,1565158702,1565158702,-0.006196976
1195813419,1565158702,1565158702,-0.006196976
1195813420,1565158702,1565158702,-0.006196976
1195813421,1565158702,1565158702,-0.006196976
1195813422,1565158702,1565158702,-0.006196976
1195813423,1565158702,1565158702,-0.006196976
1195813424,1565158702,1565158702,-0.006196976
1195813425,1565158702,1565158702,-0.006196976
1195813426,1565158702,1565158702,-0.006196976
1195813427,1565158702,1565158702,-0.006196976
1195813428,1565158702,1565158702,-0.006196976
1195813429,1565158702,1565158702,-0.006196976
1195813430,1565158702,1565158702,-0.006196976
1195813431,1565158702,1565158702,-0.006196976
1195813432,1565158702,1565158702,-0.006196976
1195813433,1565158702,1565158702,-0.006196976
1195813434,1565158702,1565158702,-0.006196976
1195813435,1565158702,1565158702,-0.006196976
1195813436,1565158702,1565158702,-0.006196976
1195813437,1565158702,1565158702,-0.006105185
1195813438,1565158702,1565158702,-0.006105185
1195813439,1565158702,1565158702,-0.007245064
1195813440,1565158702,1565158702,-0.007245064
1195813441,1565158702,1565158702,-0.007245064
1195813442,1565158702,1565158702,-0.01158309
1195813443,1565158702,1565158702,-0.008808851
1195813444,1565158702,1565158702,-0.008808851
1195813445,1565158702,1565158702,-0.008808851
1195813446,1565158702,1565158702,-0.008808851
1195813447,1565158702,1565158702,0.00080204
1195813448,1565158702,1565158702,-0.005547047
1195813449,1565158703,1565158703,-0.011971951
1195813450,1565158703,1565158703,-0.010117054
1195813451,1565158703,1565158703,-0.010117054
1195813452,1565158703,1565158703,-0.003081083
1195813453,1565158703,1565158703,-0.008656979
1195813454,1565158703,1565158703,-0.008656979
1195813455,1565158704,1565158704,-0.003618002
1195813456,1565158704,1565158704,-0.003149033
1195813457,1565158705,1565158705,-0.002125025
1195813458,1565158706,1565158706,-0.004397154
1195813459,1565158706,1565158706,-0.011204958
1195813460,1565158706,1565158706,-0.009011984
1195813461,1565158706,1565158706,-0.008131027
1195813462,1565158707,1565158707,-0.008769035
1195813463,1565158707,1565158707,-0.002563
1195813464,1565158707,1565158707,-0.006983995
1195813465,1565158709,1565158709,0.000175953
1195813466,1565158709,1565158709,-0.007389069
1195813470,1565158711,1565158711,-0.009918928
1195813471,1565158711,1565158711,-0.009918928
1195813472,1565158711,1565158711,-0.009918928
1195813473,1565158711,1565158711,-0.009918928
1195813474,1565158711,1565158711,-0.009918928
1195813475,1565158711,1565158711,-0.009918928
1195813476,1565158711,1565158711,-0.009918928
1195813477,1565158711,1565158711,-0.009918928
1195813478,1565158711,1565158711,-0.009918928
1195813479,1565158711,1565158711,-0.009918928
1195813480,1565158711,1565158711,-0.005329847
1195813481,1565158711,1565158711,-0.005329847
1195813482,1565158711,1565158711,-0.007720947
1195813483,1565158711,1565158711,-0.007720947
1195813484,1565158711,1565158711,-0.007720947
1195813485,1565158711,1565158711,-0.007720947
1195813486,1565158711,1565158711,-0.007720947
1195813487,1565158711,1565158711,-0.007720947
1195813488,1565158711,1565158711,-0.007720947
1195813489,1565158711,1565158711,-0.007720947
1195813490,1565158712,1565158712,-0.005264044
1195813491,1565158712,1565158712,-0.005264044
1195813492,1565158712,1565158712,-0.09018302
1195813493,1565158712,1565158712,-0.09018302
1195813494,1565158712,1565158712,-0.09018302
1195813495,1565158712,1565158712,-0.09018302
1195813496,1565158712,1565158712,-0.09018302
1195813497,1565158712,1565158712,-0.09018302
1195813498,1565158712,1565158712,-0.09018302
1195813499,1565158712,1565158712,-0.09018302
1195813500,1565158712,1565158712,-0.09018302
1195813501,1565158712,1565158712,-0.09018302
1195813502,1565158712,1565158712,-0.09018302
1195813503,1565158712,1565158712,-0.09018302
1195813504,1565158712,1565158712,-0.09018302
1195813505,1565158712,1565158712,-0.09018302
1195813506,1565158712,1565158712,-0.09018302
1195813507,1565158712,1565158712,-0.09018302
1195813508,1565158712,1565158712,-0.09018302
1195813509,1565158712,1565158712,-0.09018302
1195813510,1565158713,1565158713,-0.018188953
1195813511,1565158713,1565158713,-0.018188953
1195813512,1565158713,1565158713,-0.018188953
1195813513,1565158713,1565158713,-0.018188953
1195813514,1565158713,1565158713,-0.018188953
1195813515,1565158713,1565158713,-0.015583992
1195813516,1565158713,1565158713,-0.00442481
1195813517,1565158713,1565158713,-0.00442481
1195813518,1565158713,1565158713,-0.00442481
1195813519,1565158713,1565158713,-0.00442481
1195813520,1565158713,1565158713,-0.00442481
1195813521,1565158713,1565158713,-0.00442481
1195813522,1565158713,1565158713,-0.00442481
1195813523,1565158713,1565158713,-0.008970022
1195813524,1565158713,1565158713,-0.006886005
1195813525,1565158713,1565158713,0.001475096
1195813526,1565158713,1565158713,0.001475096
1195813527,1565158713,1565158713,0.001475096
1195813528,1565158714,1565158714,-0.010132074
1195813529,1565158714,1565158714,-0.010132074
1195813530,1565158714,1565158714,-0.010132074
1195813531,1565158714,1565158714,-0.010132074
1195813532,1565158714,1565158714,-0.010132074
1195813533,1565158715,1565158715,-0.003740072
1195813534,1565158715,1565158715,-0.003740072
1195813535,1565158715,1565158715,-0.003740072
1195813536,1565158715,1565158715,-0.003740072
1195813537,1565158715,1565158715,-0.016908884
1195813538,1565158715,1565158715,-0.016908884
1195813539,1565158715,1565158715,-0.016908884
1195813540,1565158715,1565158715,-0.016908884
1195813541,1565158715,1565158715,-0.016908884
1195813542,1565158715,1565158715,-0.016908884
1195813543,1565158715,1565158715,-0.016908884
1195813544,1565158715,1565158715,-0.011499882
1195813545,1565158716,1565158716,-0.041815042
1195813546,1565158716,1565158716,-0.041815042
1195813547,1565158716,1565158716,-0.041815042
1195813548,1565158716,1565158716,-0.041815042
1195813549,1565158716,1565158716,-0.041815042
1195813550,1565158716,1565158716,-0.041815042
